measure_id,measure_name,measure_format,filter_id,demographics,location_id,location_type,location_name,start_year,end_year,numerator,denominator,value,missing,missing_percentage,status,count,sum,sum_squares,minimum,maximum,standard_deviation,average,calculation,population,total_cases,median_household_income,num_full_time_prosecutors,total_num_law_enforcement_agencies
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL045,county,Gulf,2009,2013,490,2157,22.7167,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,15793,2322,40455,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL047,county,Hamilton,2009,2013,446,2403,18.5601,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,14655,2515,37716,NA,3
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL049,county,Hardee,2009,2013,612,4693,13.0407,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,27336,5065,37125,NA,5
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL051,county,Hendry,2009,2013,1933,8004,24.1504,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,38346,8108,35425,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL053,county,Hernando,2009,2013,3537,22604,15.6477,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,173119,23420,41024,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL055,county,Highlands,2009,2013,2166,11798,18.359,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,98275,12075,35560,NA,4
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL057,county,Hillsborough,2009,2013,32758,187148,17.5038,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,1257913,201156,49596,NA,6
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL059,county,Holmes,2009,2013,646,3630,17.7961,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,19864,3795,35511,NA,2
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL061,county,Indian River,2009,2013,2876,16195,17.7586,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,139356,16731,44772,NA,5
2,Cases Rejected for Prosecution,percentage,1,all defendants,FL063,county,Jackson,2009,2013,2790,9017,30.9416,0,0,OK,NA,NA,NA,NA,NA,NA,NA,PERCENTAGE,49326,9573,36809,NA,5
