location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr
FL051,FL,38346,62.1078,37.8922,10.8438,15.4,17.5638,26.7,34.5721,12.3924,1.4526,0.8189,1.3,49.4602,35425,27.5,NA,229.4894,50,2,NA,88,16.7,8.36,7143,NA,64.4,Clewiston,78.0207,73.1417,78.9253,65.5914,NA,NA,10.554405498878337,8.874028122556336,county,Hendry,0.18984007525870178,0.44816556914393224,0.034995296331138286,0.32699905926622763
FL053,FL,173119,80.6248,19.3752,5.8496,17.2,2.433,15.4,81.5208,4.9602,0.1687,1.0213,1.69,10.6378,41024,30,NA,188.8874,50,2,NA,327,14.7,5.3,7711,NA,86.5,Brooksville,55.3939,73.0078,86.8701,85.3521,71.8822,NA,12.06173449828346,8.950532836290382,county,Hernando,0.16661016949152543,0.525819209039548,0.02005649717514124,0.13983050847457626
FL055,FL,98275,78.9343,21.0657,4.2348,15.2,6.5022,20.1,70.0901,9.1824,0.2544,1.332,1.46,17.6861,35560,21.9,NA,227.9318,50,4,NA,224,15.6,5.2,10491,NA,81,Sebring,75.854,67.6471,74.7421,69.0141,49.2754,NA,11.495524950290061,9.258368340986765,county,Highlands,0.1303122534099876,0.2731371885920415,0.008003607259609965,0.5807687972043738
FL057,FL,1257913,96.4871,3.5129,8.2408,11,8.3165,16.8,53.0696,15.7636,0.1459,3.4453,2.32,25.2544,49596,25.7,NA,181.6501,66.67,6,NA,2285,18.3,7.12,352957,NA,86.8,Tampa,63.2705,75.2129,82.7867,NA,NA,84.2824,14.044964556458353,12.77410434866676,county,Hillsborough,0.08007444820947794,0.2482364725188074,0,0.4458865233112404
FL059,FL,19864,21.2275,78.7725,5.1998,11.1,1.2485,23.8,88.1192,5.447,0.2517,0.594,3.08,2.5121000000000002,35511,29.7,NA,130.8901,0,2,NA,26,12.4,7.51,2772,NA,75.5,Bonifay,77.4744,94.051,96.0993,86.5079,91.7031,NA,9.896664327188002,7.927685045615778,county,Holmes,0.37354497354497357,0.3978835978835979,0.044444444444444446,0.10335097001763668
FL061,FL,139356,95.0322,4.9678,5.5688,14.7,5.5362,15.1,77.0925,8.8213,0.1894,1.1668,1.34,11.3859,44772,21.8,NA,292.7753,60,5,NA,408,15.7,5.57,22699,NA,87,Sebastian,86.0803,86.4882,88.2192,85.5556,NA,96.8,11.844787089033758,10.030120203469494,county,Indian River,0.14211131758251483,0.2906822405096894,0.015927794000530928,0.5180957437394921
FL063,FL,49326,24.6372,75.3628,7.0426,12.9,1.8124,19.9,66.0727,26.1404,0.3832,0.5008,2.46,4.448,36809,24,NA,190.5689,20,5,NA,94,13.9,7.03,9320,NA,78,Marianna,59.2885,78.7013,89.6279,83.871,NA,NA,10.806206604380188,9.140025198061156,county,Jackson,0.07086324314375116,0.7666114485551261,0.02282348610344193,0.13970182219768085
FL065,FL,14469,0,100,6.0595,14.9,0.9123,17.2,57.3778,36.3951,0.2281,0,2.11,3.8842,44170,26.9,NA,228.0738,0,2,NA,33,9.9,5.78,2572,NA,81.2,Monticello,55.144,85.0242,93.1398,89.3204,NA,NA,9.579763708737081,7.8528278122817445,county,Jefferson,0.15789473684210525,0.5781845919145691,0.07856598016781083,0.1853546910755149
FL067,FL,8745,0,100,4.9446,11.2,7.57,20.2,72.7959,14.8428,0,0.0686,0.51,11.7782,39722,24.3,NA,125.7862,0,1,NA,11,14.9,9.63,1255,NA,78.4,Mayo,50.8197,70,82.8244,76.6234,0,NA,9.076237387452702,7.135687347028144,county,Lafayette,0.0641025641025641,0.4198717948717949,0.1233974358974359,0.391025641025641
FL069,FL,300926,80.7461,19.2539,5.2921,12,3.4906,13.8,73.1951,9.4748,0.3632,1.8071,2.55,12.6124,45035,27.7,NA,202.3753,53.85,13,NA,609,14.9,5.27,30033,NA,86.4,Clermont,70.8343,66.4382,86.0769,86.875,NA,NA,12.614619666329562,10.310085352240225,county,Lake,0.19681694035135044,0.49816232255454024,0.010790032707286644,0.2942307043868227
