location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr,percent_o,percent_u
PA021,PA,142448,67.9939,32.006100000000004,5.5456,8.8,0.5918,14.9,93.0845,3.4335,0.0772,0.4963,1.41,1.4953,41730,22.7,15,85.6453,7.14,28,1,122,10.7,6.69,20978,0,88.8,Johnstown,78.6517,59.9655,80.3814,85.9268,NA,65.8482,11.866732299813453,9.951277216371977,county,Cambria,0.24680579216354345,0.6029599659284497,0.09305792163543442,0.009476149914821125,0,0.04770017035775128
PA023,PA,5000,52.645,47.355,5.9701,7.1,0.56,13.1,97.58,0.76,0.08,0.16,0.86,0.56,41410,15.2,2,40,0,2,0,2,8.5,5.7,2073,1,86.4,Emporium,NA,62.963,78.1095,100,NA,53.8462,8.517193191416238,7.637234388789473,county,Cameron,0.18305084745762712,0.6813559322033899,0.003389830508474576,0,0,0.13220338983050847
PA025,PA,65074,52.8376,47.1624,6.5128,10.4,1.0834,11.6,93.3952,1.3124,0.1306,0.4533,1.16,3.5467,48900,30.5,7,82.9825,0,13,3,54,8.7,5.6,4781,2,87.4,Jim Thorpe,NA,71.8599,81.2308,87.3362,NA,75.3301,11.08328036286033,8.47261414801827,county,Carbon,0.21812434141201265,0.3424657534246575,0.060326659641728134,0,0,0.37908324552160166
PA027,PA,154460,67.7823,32.2177,3.661,5.8,4.7391,20.5,87.5696,2.9937,0.21560000000000001,5.1735,1.51,2.5366,50336,19.9,11,86.1064,75,4,8,133,27.6,16.73,42034,0,92.7,State College,NA,69.4915,81.5973,88.6973,NA,24.1265,11.947690442123255,10.646257883569398,county,Centre,0.4068965517241379,0.4317528735632184,0.075,0,0,0.08635057471264368
PA029,PA,503075,86.7234,13.2766,4.3623,6.7,5.1573,6.9,81.6773,5.8462,0.0608,4.0427,1.72,6.6537,86050,27.4,35,100.3826,29.55,44,36,505,10.2,6.8,18461,0,92.8,West Chester,100,68.7472,88.0687,91.2338,NA,37.2776,13.128494543334568,9.823469844550097,county,Chester,0.4409278553174759,0.44073127580106153,0.060546491055632,0.002555533713387065,0,0.05523884411244348
PA031,PA,39720,23.4395,76.5605,4.9252,8.9,0.4884,18.3,96.7598,1.2261,0.0604,0.5237,0.78,0.6521,42389,22.8,5,73.0111,0,6,2,29,15.8,8.89,5276,1,87.9,Clarion,NA,55.4276,66.3928,75.2212,NA,47.5472,10.58961011815911,8.571113033405668,county,Clarion,0.26150537634408605,0.5759139784946237,0.048602150537634406,0,0,0.11397849462365592
PA033,PA,81536,46.1503,53.8497,5.548,9.4,1.4288,14.5,93.9781,2.123,0.1104,0.612,0.69,2.4823,41030,25.1,6,56.4168,0,9,4,46,11.1,6.61,7794,0,87,DuBois,93.3333,72.3801,87.233,93,NA,56,11.308799919491781,8.961237781491876,county,Clearfield,0.2614348734618064,0.4564662177850012,0.06965405154399815,0.003482702577199907,0,0.20896215463199444
PA035,PA,39501,54.3096,45.6904,5.6614,7.5,0.9569,16.1,95.59,1.3493,0.0557,0.3848,1.43,1.1924,42184,23.3,7,30.379,0,8,2,12,16.4,9.65,9772,0,86.2,Lock Haven,NA,77.4436,81.5903,79.0698,NA,27.8788,10.584081267024454,9.187378760338836,county,Clinton,0.24906367041198502,0.653558052434457,0.020131086142322098,0,0,0.07724719101123595
PA037,PA,67021,59.1485,40.8515,5.7884,6.3,1.2026,16.6,94.1078,1.8905,0.1179,1.0459,0.63,2.2112,44807,21.1,6,95.4925,18.18,11,1,64,12.6,8.96,14855,3,88,Bloomsburg,NA,64.4535,77.6855,81.6129,NA,23.2727,11.112761282099115,9.606159103032542,county,Columbia,0.3013234841489689,0.5186211141889813,0.09541397353031703,0,0,0.08464142813173284
PA039,PA,88173,36.2992,63.7008,5.7047,9.1,0.3561,15.9,95.5111,1.6241,0.1157,0.406,1.32,1.0275,42504,22.4,7,55.5726,6.67,15,5,49,11.9,6.95,13388,0,86.8,Meadville,100,89.729,90.6752,93.8356,NA,86.5837,11.387056072680862,9.50218875329738,county,Crawford,0.3045839669780578,0.4729524223332609,0.06343688898544428,0.001955246578318488,0,0.15707147512491854
PA041,PA,237449,77.8221,22.1779,4.921,6.5,2.5012,8.3,88.785,3.1295,0.0868,2.999,2.06,2.9413,60826,21.2,18,96.8629,28.57,21,NA,230,15.3,7.12,18682,NA,91.1,Carlisle,NA,82.6528,84.2023,85.7545,NA,45.9459,12.377708142555472,9.835369298459838,county,Cumberland,0.2989308864382524,0.5925582961528748,0.08982237562084351,0,0,0.018688441788029295
PA043,PA,269035,86.6766,13.3234,7.6991,7.7,3.2215,13.3,69.4858,17.0628,0.0996,3.2289,2.78,7.3411,54066,21.3,24,168.3796,23.81,21,22,453,14.9,6.38,49528,0,89,Harrisburg,89.0411,72.794,82.8054,84.2593,NA,64.9685,12.50259676164437,10.810313635594497,county,Dauphin,0.27607025246981337,0.5878155872667399,0.059275521405049394,0.00308198936080385,0,0.07375664949759352
PA045,PA,559771,99.5361,0.4639,7.6881,9.1,4.3936,10.3,70.4317,19.8204,0.0782,4.8059,1.75,3.1106,64041,27.7,55,139.5213,31.91,47,49,781,10,7.54,33972,0,91.8,Chester,90,72.7496,86.8805,88.8693,NA,92.2597,13.235283050505814,10.433321370472791,county,Delaware,0.44664910258521323,0.4158570722871727,0.06213293814150063,5.488775454196168e-4,0,0.07481200944069379
PA047,PA,31799,44.3248,55.6752,6.5811,6.9,0.239,10.4,97.8207,0.5094,0.1447,0.5094,0.39,0.629,45767,16.8,3,94.3426,20,5,1,30,6.9,5.39,13070,1,90.5,St. Marys,NA,57.0406,79.0356,82.9268,NA,59.5092,10.367190121732936,9.478151314785551,county,Elk,0.2464705882352941,0.5611764705882353,0.09647058823529411,0,0,0.09588235294117647
PA049,PA,280518,79.9805,20.0195,7.7711,9.3,2.0844,16.9,86.2818,6.8092,0.1996,1.2523,1.94,3.5178,45202,18.6,26,109.7969,15.38,13,NA,308,14.8,7.84,101786,NA,89.9,Erie,NA,67.6753,74.9414,80.9202,NA,43.36,12.544393173009004,11.5306376735688,county,Erie,0.3059422994115114,0.5513133342902253,0.053035739916750396,0,0,0.08970862638151285
PA051,PA,136145,52.1024,47.8976,6.028,10,0.4157,18.4,92.7114,4.136,0.0867,0.3467,1.85,0.8675,39115,25.2,14,52.1503,13.33,15,10,71,9.2,6.15,10372,0,85.4,Uniontown,93.0233,79.7243,78.6048,88.1402,NA,53.4826,11.821475773226307,9.246961555431827,county,Fayette,0.36992975300249265,0.5327441649671425,0.04203489689553592,0.009743938363924768,0,0.045547246770904146
PA053,PA,7696,0,100,3.5982,7.3,0.4678,16.3,75.065,17.7885,0.4288,0.3378,0.79,5.5873,36556,26.7,6,0,0,1,0,NA,14.3,13.29,3137,1,81.6,Marienville,NA,50.5263,75.974,88.2353,NA,41.6667,8.948455992345542,8.051340933292979,county,Forest,0.28106508875739644,0.4556213017751479,0.05029585798816568,0,0,0.21301775147928995
PA055,PA,150594,59.6479,40.3521,5.8277,7.9,2.1083,11,89.8356,3.3122,0.2344,0.9124,1.2,4.5022,52637,23.2,14,89.645,37.5,8,8,135,11.8,6.04,20268,1,85.3,Chambersburg,0,67.4276,78.1273,82.0593,NA,50.2699,11.922342752916821,9.916847904237965,county,Franklin,0.2316336166194523,0.5072710103871577,0.1210576015108593,9.442870632672332e-5,0,0.13994334277620396
PA057,PA,14779,0,100,3.8055,9.6,0.2098,11.1,96.7251,1.2112,0.2707,0.1353,0.72,0.9338,48461,33,7,0,0,2,1,NA,9,5.91,1220,0,84.9,McConnellsburg,NA,63.4752,74.2004,80.9091,NA,50.8287,9.600962533214572,7.107425474110705,county,Fulton,0.2706333973128599,0.45009596928982726,0.10556621880998081,0,0,0.17370441458733205
PA059,PA,38362,33.167,66.833,5.5906,7.3,0.2502,14.7,91.867,5.1379,0.1747,0.378,1.19,1.2565,44388,26.9,7,75.5956,0,4,NA,29,14.8,6.97,4176,NA,85.1,Waynesburg,NA,68.7143,77.8462,87.0432,NA,60.8696,10.554822665281634,8.337348564497175,county,Greene,0.32407407407407407,0.4513888888888889,0.13935185185185187,0,0,0.08518518518518518
PA061,PA,45874,31.3375,68.6625,4.6821,7.8,0.5581,12.7,91.5965,5.2295,0.048,0.4403,1.03,1.6545,44183,28.1,5,43.5977,0,4,1,20,11.9,7.05,7093,1,87.7,Huntingdon,NA,52.9114,73.0662,79.4393,NA,34.3915,10.73365378675416,8.867004635333567,county,Huntingdon,0.2716643741403026,0.3689821182943604,0.29436038514442914,0,0,0.06499312242090784
PA063,PA,88404,39.9302,60.0698,4.3836,8.6,0.8529,17.7,94.1971,2.4524,0.112,1.078,0.97,1.1934,43997,22.8,6,46.378,14.29,7,4,41,18.1,10.51,13975,0,87.8,Indiana,90.9091,66.2906,77.6562,84.4898,NA,39.0558,11.389672496470814,9.545096851813893,county,Indiana,0.29915611814345994,0.5976793248945148,0.05168776371308017,0.002320675105485232,0,0.049156118143459916
PA065,PA,45015,38.5398,61.4602,6.1125,7.7,0.3399,15.3,97.6963,0.3466,0.1711,0.1777,0.93,0.6798,41262,21.9,4,53.3156,0,6,2,24,11.1,6.16,5962,0,87.6,Punxsutawney,NA,71.1569,70.6422,40,NA,76.9327,10.714751046542577,8.693328989123106,county,Jefferson,0.2567127746135069,0.0886899918633035,0.0020341741253051262,0,0,0.6525630593978845
PA067,PA,24737,17.7464,82.2536,4.1306,7.9,1.0268,11.8,95.529,0.7277,0.0566,0.376,0.66,2.6519,46163,29.3,5,76.808,0,2,NA,19,8.4,5.98,925,NA,82.9,Port Royal,NA,80.5085,84.812,84.2105,NA,72.7273,10.116055377478153,6.8308742346461795,county,Juniata,0.24481327800829875,0.6898340248962656,0.01970954356846473,0,0,0.04564315352697095
PA069,PA,214275,83.6945,16.3055,6.5012,8,2.7329,13.6,89.1901,2.4198,0.1349,1.7944,1.19,5.2717,46044,20,22,126.9397,0,22,14,272,11.8,6.8,76089,4,88.9,Scranton,88.8889,64.1075,71.5184,80.1556,NA,30.9619,12.275015515767084,11.239672129170568,county,Lackawanna,0.38743542742876186,0.46367272121313113,0.06423929345109149,0.0014997500416597234,0,0.08315280786535577
PA071,PA,523306,78.7429,21.2571,5.1272,7.4,2.1615,10.5,84.3508,3.249,0.0896,1.9318,1.38,8.9965,56483,22.5,36,111.7893,50,30,28,585,11,7.02,59322,0,83.9,Lancaster,95.8333,62.3395,77.5214,84.9094,NA,41.2614,13.16792165799302,10.990752368135597,county,Lancaster,0.4165477888730385,0.4327300285306705,0.09098609129814551,0.0010699001426533524,0,0.05866619115549215
PA073,PA,90374,59.6819,40.3181,7.2753,8,0.353,14.4,92.8077,3.9071,0.0775,0.3131,1.81,1.0844,43546,22.4,11,71.9233,7.69,13,6,65,8.2,6.21,23273,1,88.3,New Castle,73.4177,58.2222,66.2887,77.3256,NA,32.6146,11.411711894392932,10.055092136668023,county,Lawrence,0.2464853021727223,0.5313127624612014,0.12561621325543182,0.028847909439474163,0,0.06773781267117035
PA075,PA,134411,73.4442,26.5558,6.3626,7.6,1.4902,10.7,86.0242,1.546,0.1042,1.0825,1.35,9.892,54818,22.9,11,90.0224,25,8,NA,121,12.7,6.25,25477,NA,85.5,Lebanon,NA,67.1004,84.0844,89.0152,NA,54.0126,11.808657548960143,10.145570613669733,county,Lebanon,0.2773829667230682,0.5081782289904118,0.08934010152284264,0,0,0.12509870276367738
PA077,PA,352068,92.0743,7.9257,7.582,10.1,4.2034,13.7,70.4461,4.9655,0.0699,3.0562,1.88,19.5834,54923,24.2,24,118.7271,33.33,18,NA,418,14.5,6.55,118032,NA,86.8,Allentown,66.6667,62.3149,77.7975,87.8788,NA,31.0045,12.771579617741212,11.678719525366898,county,Lehigh,0.34094565606006433,0.35305684662138004,0.03834465498748659,2.681444404719342e-4,0,0.26738469789059705
PA079,PA,320827,80.0151,19.9849,7.2838,8.4,3.0266,15.6,87.3034,3.178,0.1275,0.9463,1.02,7.4274,44402,22.2,29,108.7814,10.2,49,25,349,12.6,6.8,41498,0,88.3,Wilkes-Barre,100,64.7214,76.7873,89.525,NA,70.4102,12.678657316021384,10.633424609542924,county,Luzerne,0.38339779827432313,0.2630169592383219,0.04885450758702767,5.950609937518596e-5,0,0.3046712288009521
PA081,PA,116604,63.7235,36.2765,6.4392,9,0.6149,14.2,91.6264,4.6877,0.1681,0.6072,1.44,1.4674,45430,19.8,13,73.7539,7.14,14,7,86,12.5,7.96,29381,0,87.6,Williamsport,96.1538,77.699700000000007,84.0905,93.3934,NA,64.5977,11.666538857627438,10.288137520930372,county,Lycoming,0.2624423963133641,0.5959677419354839,0.03836405529953917,0.0029953917050691246,0,0.10023041474654378
PA083,PA,43294,36.4626,63.5374,7.2951,10.7,0.6745,16.6,94.1678,2.4599,0.2887,0.4874,0.73,1.864,41834,20,7,43.886,0,9,7,19,11.9,6.86,8770,1,89.3,Bradford,100,86.0687,90.7336,90.8425,NA,86.7528,10.675769336259801,9.079206103951382,county,McKean,0.20516836335160532,0.2028191072826938,0.10689115113547376,3.9154267815191856e-4,0,0.48472983555207516
PA085,PA,116059,55.5111,44.4889,6.3026,9.4,0.5454,13.5,90.8409,5.7548,0.0922,0.7229,1.44,1.1442,44301,21,11,86.1631,25,12,9,100,12,7.44,16220,1,88.6,Hermitage,100,50.4083,48.7011,58.1606,NA,49.894,11.661853961474497,9.694061978050115,county,Mercer,0.284460505937016,0.4322405782137326,0.0996386164171399,0.0010325245224574084,0,0.1826277749096541
PA087,PA,46698,49.533,50.467,5.6918,9,0.4411,15.3,96.7472,0.6831,0.0792,0.3619,0.93,1.1949,40384,23,6,27.8385,50,2,1,13,10.5,5.72,8338,2,81.5,Lewistown,NA,64.7841,78.3292,87.1212,NA,54.4118,10.751456616187443,9.028698584086985,county,Mifflin,0.212195981670779,0.7173070144518858,0.04652802255904124,0,0,0.02396898131829397
PA089,PA,168947,61.6461,38.3539,7.0386,13.7,3.3081,12,69.6911,12.1588,0.1959,2.0308,2.36,13.5658,57408,38.9,19,50.3116,33.33,9,12,85,10.1,8.03,9840,0,89.6,East Stroudsburg,NA,56.3242,53.0892,71.2034,NA,35.8645,12.037340335252022,9.194312610898985,county,Monroe,0.349294532627866,0.4381834215167548,0.06155202821869488,0,0,0.1509700176366843
PA091,PA,804621,97.0663,2.9337,4.6961,7.1,4.4259,6.1,78.4902,8.6039,0.0641,6.5262,1.93,4.3852,79183,27.5,61,164.6738,62.5,48,30,1325,10.2,6.02,57825,0,93.5,Lower Merion,88.0309,65.2272,79.0213,92.6097,NA,62.6491,13.598126638082656,10.965193780508258,county,Montgomery,0.46093961715651255,0.42287699243674703,0.010667389322756276,0.0063807247912098745,0,0.09913527629277426
PA093,PA,18379,46.2309,53.7691,3.4011,7.6,1.8826,10,93.3892,1.5833,0.0544,2.2471,0.75,1.9805,51482,18.7,3,92.4969,0,2,NA,17,9.2,5.58,4699,NA,89.5,Danville,NA,59.8485,59.2715,75.4098,NA,67.8295,9.818963987465475,8.45531778769815,county,Montour,0.1752988047808765,0.40106241699867196,0.08100929614873838,0,0,0.3426294820717131
PA095,PA,298439,87.2316,12.7684,5.8072,8.6,2.8696,9.7,80.2422,4.4143,0.1293,2.6009,1.66,10.957,60097,27.3,24,0,34.78,23,NA,NA,13.2,7.34,74982,NA,88.7,Bethlehem,76.6667,82.0532,92.9347,91.4821,NA,74.7457,12.606320835822565,11.22501670015901,county,Northampton,0.28198542172856644,0.31343283582089554,0.0407497396737244,0.0020826102047900035,0,0.3617493925720236
PA097,PA,94444,65.1394,34.8606,6.4578,9.3,0.6978,14.2,93.9393,2.2542,0.1758,0.3738,0.69,2.5645,41208,23.5,9,94.2357,6.25,16,5,89,10.9,6.34,9905,1,85.3,Sunbury,81.25,67.2158,75.8242,81.0345,NA,55.8747,11.455762345236854,9.200895913148184,county,Northumberland,0.2372020320437671,0.4445095740523642,0.09066041422430637,0.0031262211801484957,0,0.22450175849941384
PA099,PA,45808,11.5012,88.4988,6.0309,8,0.6222,9.7,96.4046,0.716,0.083,0.2423,1.15,1.4081,57375,31.6,6,19.6472,0,7,1,9,11,6.4,2534,1,86.7,Marysville,100,74.2927,87.6747,100,NA,85.5072,10.732214027337896,7.837948916025283,county,Perry,0.3198269079464988,0.6191974822974036,0.006294256490952006,3.933910306845004e-4,0,0.05428796223446106
PA101,PA,1536704,100,0,10.6076,15.1,6.2085,26.5,36.5862,42.0186,0.1754,6.4536,2.1,12.6709,37192,31.8,113,430.9874,20,5,NA,6623,14.2,8.08,1526006,0,81.2,Philadelphia,77.7778,59.5674,56.0342,62.2474,NA,30.4221,14.24515042102045,14.238165077971981,county,Philadelphia,0.2061766418838443,0.615366049457209,0.1298081211402547,4.7222032751103156e-5,0,0.04860196548594095
PA103,PA,57179,29.2388,70.7612,5.3288,13.4,2.3802,9.1,82.5635,5.0281,0.056,0.8989,2.15,9.3041,59340,41.5,6,57.7135,0,7,NA,33,9.4,6.48,2469,NA,91.3,Matamoras,NA,67.5882,84.9953,93.1818,NA,70.3297,10.953941977090986,7.8119734296220225,county,Pike,0.45588874402433727,0.46631899174272057,0.03824424163407214,0,0,0.03954802259887006
PA105,PA,17487,0,100,4.3804,7.6,0.2802,15.1,97.1465,0.3603,0.1487,0.3088,0.96,1.0751,41547,21.9,5,57.1853,0,6,NA,10,8.6,6.04,2546,NA,88.4,Coudersport,NA,86.3768,88.0682,96.1538,NA,66.6667,9.76921302671366,7.842671474979457,county,Potter,0.3248587570621469,0.4971751412429379,0.07344632768361582,0,0,0.10451977401129943
PA107,PA,147700,63.5388,36.4612,5.6137,9.6,1.1435,12.8,92.8863,2.5085,0.0345,0.566,1,3.0007,45012,25.6,14,73.7982,2.56,47,7,109,10,5.96,14324,1,86.4,Pottsville,91.6667,62.0224,75.0213,79.5608,NA,44.9931,11.902938468519471,9.56976154158294,county,Schuylkill,0.2619948724209498,0.573800512757905,0.07227444756439995,0.002930045171529728,0,0.08900012208521547
PA109,PA,39711,33.1797,66.8203,4.876,6.3,0.5691,11.9,95.8374,0.9645,0.1486,0.6623,0.59,1.798,46513,23.1,6,37.7729,0,5,1,15,10.4,8.27,5654,2,82.6,Selinsgrove,NA,60.8764,78.3934,86.5922,NA,59.0734,10.58938350638188,8.640295388550221,county,Snyder,0.35519733185102836,0.4013340744858255,0.09949972206781545,0,0,0.14396887159533073
PA111,PA,77341,29.1979,70.8021,3.5447,8.5,0.2599,12.4,95.3492,2.2718,0.1021,0.2573,0.87,1.1456,43597,23.2,10,54.305,0,17,2,42,8.6,6.07,6277,4,85.6,Somerset,50,67.0051,76.0226,82.3529,NA,49.7487,11.255979494997533,8.744806737401898,county,Somerset,0.3307588985896575,0.4761584956346541,0.12558764271323036,6.71591672263264e-4,0,0.06682337139019476
PA113,PA,6419,0,100,2.4979,7.9,0.9503,13.9,96.2923,1.4956,0.0779,0.1869,0.51,1.4332,40964,26.5,2,0,0,1,1,NA,8,8.16,608,0,87.3,Dushore,NA,55.102,67.1795,83.3333,NA,32,8.767017621311778,6.411818267709897,county,Sullivan,0.38786279683377306,0.5145118733509235,0.0316622691292876,0,0,0.06596306068601583
PA115,PA,42948,15.9701,84.0299,4.9583,8.6,0.6496,12.9,96.9265,0.5239,0.2189,0.2189,0.67,1.4459,48231,27,5,39.5828,0,8,1,17,9.3,6.05,1911,1,89,Forest City,81.8182,60.8924,62.6301,69.9301,NA,37.6033,10.667745360554026,7.555905093611346,county,Susquehanna,0.3440180586907449,0.47720090293453726,0.06455981941309255,0.004966139954853273,0,0.109255079006772
PA117,PA,42267,9.8902,90.1098,5.5692,8.6,0.4211,15.3,96.463,0.7949,0.1538,0.459,0.95,1.1806,44187,23.5,4,52.0501,0,12,2,22,11.9,7.16,3625,0,88.4,Mansfield,NA,61.3174,61.2267,66.6667,NA,39.1304,10.651761918721386,8.195885391314796,county,Tioga,0.46518105849582175,0.5086350974930363,0.013370473537604457,0,0,0.012813370473537604
PA119,PA,44932,57.1851,42.8149,5.4641,8,2.5461,12.3,84.9172,6.65,0.2292,1.1951,1.6,5.4059,48528,21.3,6,51.1885,0,7,NA,23,16.3,9.38,5792,NA,84.8,Lewisburg,NA,70.4641,84.2795,85.0299,NA,55.7851,10.71290551476146,8.664405571096625,county,Union,0.3019108280254777,0.4375796178343949,0.10636942675159236,0,0,0.15414012738853503
PA121,PA,54590,45.2441,54.7559,7.0165,8.5,0.2491,16,96.2777,0.7309,0.0733,0.3902,1.56,0.9635,41977,21.6,6,76.9372,16.67,6,NA,42,13.1,6,10557,NA,88.8,Oil City,NA,81.2558,77.7296,82.3362,NA,66.9643,10.907605994775803,9.264639145383562,county,Venango,0.3434823977164605,0.4386298763082778,0.11132254995242626,0,0,0.1065651760228354
PA123,PA,41429,44.9576,55.0424,4.0158,7.4,0.4176,12.6,97.4607,0.4369,0.1279,0.3959,0.77,0.8134,43764,19.8,7,67.5855,0,5,3,28,9.6,5.73,9710,0,89.6,Warren,100,63.6538,73.8332,79.9127,NA,39.7129,10.631736397681422,9.181014542594355,county,Warren,0.2290748898678414,0.5757709251101322,0.10088105726872247,0.0022026431718061676,0,0.0920704845814978
PA125,PA,208047,69.1752,30.8248,4.9728,7.5,0.7743,10.5,93.302,3.0777,0.0163,0.7147,1.65,1.2372,53693,26.2,17,107.1873,16.67,24,10,223,11.9,6.5,13663,0,90.4,Washington,93.3333,61.3025,78.7596,83.7461,NA,57.8501,12.245519294696454,9.522519916028351,county,Washington,0.3042613419019203,0.31948588478310763,0.04942238543340219,0.0022951572182694515,0,0.3245352306633004
