location_id,state,Population,Urban.Population,Rural.Population,Single.Female.Headed.Households.with.Children,Unemployment.Rate,Non.Citizens,Below.Poverty.Line,White.Population,African.American.Population,Native.American.Alaskan.Population,Asian.or.Pacific.Islander.Population,Other.Race.Population,Hispanic.or.Latino.Population,Median.Household.Income,Average.Commute.Minutes,Number.of.Criminal.Court.Judges,Police.Officers.per.100.000.Residents,Law.Enforcement.Agencies.Reporting.to.UCR,Total.Number.of.Law.Enforcement.Agencies,Number.of.Full.Time.Prosecutors,Number.of.Full.Time.Sworn.Law.Enforcement.Officers,Residential.Mobility,Young.Males.Population,Largest.Municipality.Population,Number.of.Part.Time.Prosecutors,High.School.Graduates,Largest.Municipality,Self.Represented.conviction.rate,Private.conviction.rate,Public.Defender.conviction.rate,Court.Appointed.conviction.rate,Other.conviction.rate,Unknown.conviction.rate,Log.pop,Log.Largest.Municipality.Population,type,name,percent_p,percent_pd,percent_ca,percent_sr,percent_o,percent_u,percent_uo
OR047,OR,318441,86.9063,13.0937,8.6243,13.3,10.2145,18.6,67.8399,0.9088,0.8096,1.7997,4.01,24.6344,46885,21.8,NA,NA,NA,NA,NA,NA,17.8,7.31,NA,NA,83.2,NA,66.6667,67.3279,86.1111,86.7927,NA,38.535,12.67119249350659,NA,county,Marion,0.08536139978086922,0.004781035226933165,0.8889073342408447,9.960490056110761e-5,0,0.020850625850791858,0.020850625850791858
OR049,OR,11218,54.1305,45.8695,7.2173,10.1,13.0594,18,63.6745,0.1694,0.4903,0.6329,2.75,32.2874,49940,19.4,NA,NA,NA,NA,NA,NA,16.9,7.47,NA,NA,75.5,NA,100,64,0,74.9491,NA,8.6957,9.325274910068282,NA,county,Morrow,0.08818342151675485,0.003527336860670194,0.8659611992945326,0.001763668430335097,0,0.04056437389770723,0.04056437389770723
OR051,OR,747641,98.6578,1.3422,6.2503,10.6,8.3476,17.8,71.9694,5.4586,0.6649,6.6807,4.32,10.9056,52511,24.8,NA,NA,NA,NA,NA,NA,20,6.11,NA,NA,89.7,NA,22.6804,46.0629,86.5087,65.9223,NA,6.3699,13.524678195221352,NA,county,Multnomah,0.057591995688734784,0.011154381933358415,0.5778112194576347,9.863035984829227e-4,0,0.3524560993217892,0.3524560993217892
OR053,OR,75930,80.0737,19.9263,5.7297,11.3,4.0169,16.5,80.2002,0.4162,1.0589,2.2508,3.68,12.3956,52808,24.5,NA,NA,NA,NA,NA,NA,17.7,7.61,NA,NA,89.8,NA,NA,45.0299,94.1176,67.218,NA,34.6405,11.23756714220728,NA,county,Polk,0.11391541609822646,0.006957708049113233,0.8165075034106412,0,0,0.0626193724420191,0.0626193724420191
OR055,OR,1865,0,100,4.2322,7.7,1.9303,22.1,90.2413,0.1072,1.6622,0.1072,3.38,4.504,42639,20.5,NA,NA,NA,NA,NA,NA,13.9,6.01,NA,NA,92.4,NA,NA,48.5714,100,71.1382,NA,48.5714,7.5310163320779155,NA,county,Sherman,0.11551155115511551,0.01485148514851485,0.8118811881188119,0,0,0.057755775577557754,0.057755775577557754
OR057,OR,25300,30.396,69.604,4.9043,9,4.5217,16.1,86.2134,0.4506,0.7549,0.8498,2.45,9.2846,43676,19.1,NA,NA,NA,NA,NA,NA,13.3,5.66,NA,NA,88.1,NA,NA,58.9649,83.3333,70.9817,NA,31.5175,10.138559674715612,NA,county,Tillamook,0.14990302022720975,0.00831255195344971,0.770573566084788,0,0,0.0712108617345525,0.0712108617345525
OR059,OR,76306,70.9339,29.0661,9.3928,10.9,7.4529,16.5,68.9343,0.595,1.9225,0.806,3.43,24.3074,48389,16.9,NA,NA,NA,NA,NA,NA,17.5,7.47,NA,NA,81.9,NA,57.1429,56.7613,87.3016,76.7059,NA,16.8919,11.242506851140195,NA,county,Umatilla,0.08361250697934115,0.008793969849246231,0.8652987158012284,9.77107761027359e-4,0,0.0413176996091569,0.0413176996091569
OR061,OR,25741,57.9035,42.0965,5.7743,9.3,2.6611,18.6,90.2801,0.5439,0.3807,0.9751,3.7,4.1218,42542,16.2,NA,NA,NA,NA,NA,NA,18,7.68,NA,NA,90.6,NA,50,62.4294,100,80.8592,NA,58.1262,10.155840330434325,NA,county,Union,0.10949582431178471,9.279307145066501e-4,0.7271883699350449,6.186204763377668e-4,0,0.16176925456232602,0.16176925456232602
OR063,OR,6924,0,100,6.9092,12.2,0.5055,13.4,94.223,0.4333,0.5199,0.1155,2.27,2.4408,41994,18.9,NA,NA,NA,NA,NA,NA,13.7,4.29,NA,NA,93.5,NA,NA,51.5152,100,65.2695,NA,51.2397,8.8427489162961,NA,county,Wallowa,0.12643678160919541,0.0019157088122605363,0.6398467432950191,0,0,0.23180076628352492,0.23180076628352492
OR065,OR,25281,66.9337,33.0663,6.9913,10.8,7.563,18.2,76.9511,0.3876,4.2245,0.981,1.88,15.573,43765,16.1,NA,NA,NA,NA,NA,NA,15.9,6.3,NA,NA,85.1,NA,100,66.4706,92.0635,77.9633,NA,57.6419,10.137808404440463,NA,county,Wasco,0.09221589368049905,0.01708706265256306,0.8283157038242474,2.7122321670735016e-4,0,0.06211011662598318,0.06211011662598318
OR067,OR,539608,94.41,5.59,6.0826,9.6,9.8703,11.4,69.2556,1.6929,0.4435,8.8006,3.98,15.8272,64180,24.2,NA,NA,NA,NA,NA,NA,17.3,6.26,NA,NA,90.8,NA,84.3137,64.4864,85.1852,85.8216,NA,48.4364,13.198598229002723,NA,county,Washington,0.12059690684322144,0.0013965758030310867,0.7298143071432266,0.002637976516836497,0,0.14555423369368437,0.14555423369368437
OR069,OR,1292,0,100,2.72,10.4,0.2322,15.6,94.2724,0,0.4644,0.1548,2.48,2.6316,37974,22.4,NA,NA,NA,NA,NA,NA,10.1,4.64,NA,NA,88.6,NA,NA,45,NA,64.4068,NA,40,7.163946684342547,NA,county,Wheeler,0.23809523809523808,0,0.7023809523809523,0,0,0.05952380952380952,0.05952380952380952
OR071,OR,99802,77.3966,22.6034,6.2423,10.7,5.539,14.6,78.9213,0.8256,0.8958,1.3908,3.05,14.9195,54535,23.4,NA,NA,NA,NA,NA,NA,16.1,7.46,NA,NA,88,NA,100,68.0243,100,83.1658,NA,24.2762,11.510943502178916,NA,county,Yamhill,0.14109304315931043,0.001222643354933366,0.8025430981782614,2.4452867098667317e-4,0,0.05489668663650813,0.05489668663650813
